B0254-53;0.447708;15.90;43.984254;-53.072600;1.51;
J0303+22;1.207000;20.00;45.750000;22.800000;1.08;
B0301+19;1.387584;15.66;46.137979;19.547611;0.74;
J0308+74;0.003160;6.35;47.000000;74.000000;0.38;
B0320+39;3.032072;26.19;50.860908;39.748028;1.20;
J0324+5239;0.336620;115.46;51.231083;52.658694;2.29;
J0325+67;1.364741;65.00;51.500000;67.816667;1.93;
J0329+1654;0.893320;40.82;52.285625;16.900556;2.56;
B0329+54;0.714520;26.76;53.247367;54.578769;1.18;
J0332+79;2.056210;16.67;53.187500;79.166667;1.05;
B0331+45;0.269201;47.15;53.819363;45.931521;1.54;
J0337+1715;0.002733;21.32;54.432608;17.254119;0.82;
J0338+66;1.762000;67.00;54.750000;66.733333;1.93;
J0340+4130;0.003299;49.58;55.097034;41.512581;1.60;
J0341+5711;1.888000;100.00;55.250000;57.183333;2.03;
J0343-3000;2.597027;20.20;55.866417;-30.007639;1.59;
B0339+53;1.934478;67.30;55.803785;53.214841;1.71;
J0348+0432;0.039123;40.46;57.181829;4.536516;2.25;
J0357+3205;0.444104;*;59.468750;32.090278;*;
B0353+52;0.197030;103.71;59.436731;52.616028;2.03;
J0358+42;0.226478;46.00;59.500000;42.100000;1.48;
B0355+54;0.156384;57.14;59.723849;54.220496;1.59;
J0358+66;0.091507;62.30;59.500000;66.666667;1.89;
J0359+5414;0.079427;*;59.858375;54.248806;*;
B0403-76;0.545253;21.60;60.465333;-76.137167;1.01;
B0402+61;0.594576;65.41;61.625342;61.644733;1.79;
J0407+1607;0.025702;35.65;61.978912;16.121222;1.34;
J0408+551;1.837000;55.00;62.000000;55.000000;1.57;
J0408+552;0.754000;64.00;62.000000;55.000000;1.66;
J0410-31;1.878500;9.20;62.662500;-31.124722;0.41;
J0413+58;0.687000;57.00;63.250000;58.000000;1.63;
B0410+69;0.390715;27.45;63.981889;69.902747;1.37;
J0417+35;0.654400;48.53;64.429167;35.750000;1.48;
J0417+61;0.440283;71.00;64.250000;61.133333;1.85;
J0418-4154;0.757119;24.54;64.517500;-41.903000;2.57;
J0418+5732;9.078388;*;64.641113;57.539697;*;
J0419+44;1.241000;71.00;64.750000;44.000000;1.69;
J0420-5022;3.453004;*;65.008125;-50.380028;*;
J0421-0345;2.161308;44.61;65.389817;-3.751836;2.20;
J0421+32;0.900500;75.00;65.375000;32.666667;1.91;
J0426+4933;0.922475;85.00;66.528387;49.560683;1.80;
J0435+27;0.326279;53.18;68.891667;27.733333;1.52;
J0437-4715;0.005757;2.64;69.316234;-47.252531;0.16;
J0447-04;2.188190;29.83;71.750000;-4.583333;0.67;
J0448-2749;0.450448;26.22;72.173198;-27.829649;1.81;
J0449-7031;0.479164;65.83;72.273625;-70.525472;25.00;
B0447-12;0.438014;37.04;72.536588;-12.801972;1.77;
J0451-67;0.245454;45.00;72.958333;-67.300000;4.18;
B0450-18;0.548939;39.90;73.142107;-17.989825;2.71;
J0453+1559;0.045782;30.31;73.439224;15.989252;0.52;
B0450+55;0.340729;14.59;73.532294;55.728177;0.64;
B0456-69;0.320423;94.89;73.948125;-69.859528;25.00;
J0456-69;0.117073;103.00;74.125000;-69.166667;25.00;
J0456-7031;0.800132;100.30;74.010417;-70.518500;25.00;
J0457+23;0.504900;59.00;74.275000;23.566667;1.52;
J0457-6337;2.497012;27.50;74.282458;-63.625111;1.33;
J0457-69;0.231390;91.00;74.258333;-69.766667;25.00;
J0458-0505;1.883480;47.81;74.654671;-5.084750;1.94;
J0458-67;1.133900;97.00;74.745833;-67.716667;25.00;
J0459-0210;1.133076;21.02;74.966422;-2.168509;0.16;
J0501+4516;5.762097;*;75.278167;45.276089;*;
B0458+46;0.638565;41.83;75.519004;46.901692;1.32;
B0502-66;0.691251;68.90;75.710542;-66.299667;25.00;
J0509+08;0.004100;38.00;77.350000;8.950000;0.80;
J0510+38;0.076564;69.00;77.495833;38.200000;1.56;
J0511-6508;0.322062;25.66;77.985417;-65.143472;0.82;
J0514-4002A;0.004991;52.15;78.527886;-40.046916;25.00;
J0514-4407;0.302200;15.40;78.716000;-44.118472;0.99;
J0517+22;0.222344;20.00;79.291667;22.266667;0.16;
J0519+44;0.515000;52.00;79.750000;44.000000;1.42;
J0519+54;0.340194;43.00;80.000000;54.416667;1.45;
J0519-6932;0.263212;119.40;79.945487;-69.539856;25.00;
J0520-2553;0.241642;33.77;80.150772;-25.886748;2.38;
J0521-68;0.433421;136.00;80.433333;-68.583333;25.00;
J0522-6847;0.674532;126.45;80.596083;-68.783944;25.00;
B0523+11;0.354438;79.42;81.485201;11.255300;1.84;
J0525-6607;8.047000;*;81.503750;-66.076750;*;
B0525+21;3.745539;50.87;82.217767;22.001111;1.22;
B0529-66;0.975725;103.20;82.462167;-66.877278;25.00;
J0532-6639;0.642743;69.30;83.247958;-66.660361;25.00;
J0532-69;0.574598;124.00;83.016667;-69.766667;25.00;
J0533+0402;0.963018;83.70;83.357583;4.033472;2.17;
J0533+67;0.004390;57.40;83.250000;67.000000;2.28;
B0531+21;0.033392;56.77;83.633221;22.014461;1.31;
J0534-6703;1.817565;94.70;83.650708;-67.063556;25.00;
J0535-66;0.210524;75.00;83.916667;-66.866667;25.00;
J0535-6935;0.200511;93.70;83.750000;-69.583333;25.00;
B0538-75;1.245856;17.50;84.128292;-75.732417;0.14;
J0537-69;0.112613;273.00;84.429167;-69.350000;25.00;
J0537-6910;0.016122;*;84.447567;-69.172189;*;
J0538+2817;0.143158;39.57;84.604405;28.285878;0.95;
J0540+3207;0.524271;61.97;85.154650;32.127028;1.42;
B0540-69;0.050570;146.50;85.046675;-69.331714;25.00;
J0540-7125;1.286015;29.41;85.128333;-71.425389;0.55;
J0542-68;0.425189;114.00;85.645833;-68.266667;25.00;
B0540+23;0.245975;77.70;85.790250;23.484722;1.56;
