J1055-6028;0.099661;635.90;163.913292;-60.477083;3.83;
J1055-6236;0.448635;149.70;163.977542;-62.613417;1.88;
J1055-6905;2.919397;142.80;163.936292;-69.086500;2.03;
J1056-5709;0.676082;436.50;164.182458;-57.159583;3.06;
B1054-62;0.422447;320.30;164.106458;-62.979889;2.61;
J1056-7117;0.026310;93.04;164.191583;-71.298165;1.69;
J1057-4754;0.628306;60.00;164.471408;-47.916000;0.64;
B1055-52;0.197108;30.10;164.495688;-52.448961;0.09;
J1057-5851;0.620365;*;164.289583;-58.851944;*;
B1056-78;1.347402;51.00;164.364167;-79.240056;1.44;
J1058-5957;0.616270;334.00;164.642708;-59.960111;2.59;
B1056-57;1.184999;108.70;164.753750;-57.703944;1.64;
J1101-6101;0.062800;*;165.437333;-61.027667;*;
J1101-6424;0.005109;207.00;165.404968;-64.410926;2.17;
J1101+65;3.631320;19.00;165.500000;65.116667;1.90;
J1103-5403;0.003393;103.92;165.888725;-54.062013;1.68;
J1103-6025;0.396587;275.90;165.881167;-60.426775;2.38;
J1104-6103;0.280905;78.51;166.071925;-61.051078;1.33;
J1105-43;0.351100;45.50;166.350000;-43.950278;0.10;
J1105-6037;0.194938;*;166.252000;-60.621194;*;
J1105-6107;0.063193;271.01;166.359042;-61.130944;2.36;
J1106-6438;2.717934;203.00;166.618500;-64.650000;2.15;
J1107-5907;0.252773;40.20;166.893583;-59.121861;0.11;
B1105-59;1.516531;158.40;166.994583;-59.784444;1.91;
J1107-6143;1.799396;406.00;166.801250;-61.733056;2.94;
B1107-56;0.558253;262.56;167.501667;-56.625806;2.45;
J1110+58;0.793348;26.00;167.750000;58.866667;25.00;
J1112-6103;0.064962;599.10;168.061708;-61.058639;4.50;
B1110-65;0.334213;249.30;168.160542;-66.218000;2.53;
B1110-69;0.820484;148.40;168.212500;-69.441944;2.08;
B1112-60;0.880820;677.00;168.593833;-61.009500;5.48;
B1112+50;1.656440;9.19;168.910000;50.503414;0.92;
J1115-6052;0.259777;228.20;168.973667;-60.871611;2.19;
B1114-41;0.943158;40.53;169.179525;-41.378878;0.28;
J1117-6154;0.505097;493.60;169.349208;-61.906111;3.97;
J1117-6447;1.155272;303.00;169.437500;-64.799444;2.75;
J1119-6127;0.407963;707.40;169.809583;-61.463750;6.41;
B1118-79;2.280597;27.40;169.920000;-79.608417;0.81;
J1120-3618;0.005550;45.10;170.093333;-36.308944;0.95;
B1119-54;0.535783;204.70;170.329954;-54.734861;2.32;
J1122+78;0.004201;11.22;171.491667;78.383333;0.83;
J1123-4844;0.244838;92.92;170.815213;-48.739653;1.86;
J1123-6102;0.640234;439.40;170.923750;-61.035056;3.49;
J1123-6259;0.271434;223.26;170.981454;-62.986317;2.19;
J1123-6651;0.232976;111.20;170.967542;-66.863631;1.68;
J1124-3653;0.002410;44.90;171.000000;-36.000000;1.05;
J1124-5638;0.185560;289.50;171.235292;-56.644361;2.64;
J1124-5916;0.135477;330.00;171.162500;-59.271944;2.68;
J1124-6421;0.479099;298.00;171.247917;-64.354722;2.70;
J1125-5825;0.003102;124.79;171.434857;-58.421356;1.74;
J1125-6014;0.002630;52.95;171.480075;-60.235169;0.99;
J1126-27;0.358161;26.86;171.500000;-27.616667;0.44;
J1126-38;0.887550;46.00;171.575000;-38.633333;1.01;
B1124-60;0.202737;280.27;171.719200;-60.911100;2.43;
J1126-6942;0.579416;55.33;171.590292;-69.704250;1.18;
J1128-6219;0.515984;675.00;172.194583;-62.319167;7.40;
J1129-53;1.062880;77.00;172.337500;-53.516667;1.46;
J1130-5826;0.162323;261.10;172.568042;-58.433972;2.41;
J1130-5925;0.680984;264.40;172.543500;-59.426139;2.39;
J1130-6807;0.256353;148.73;172.632971;-68.124589;1.97;
J1132-46;0.325400;120.00;173.137500;-46.918333;2.64;
J1132-5627;0.175166;305.70;173.065583;-56.458028;2.91;
B1131-62;1.022875;567.80;173.464375;-62.847389;7.45;
J1135-49;*;114.00;173.983333;-49.425278;2.13;
J1135-6055;0.114943;*;173.750000;-60.916667;*;
B1133+16;1.187913;4.84;174.013532;15.851244;0.41;
B1133-55;0.364706;85.50;174.009042;-55.418972;1.52;
J1137-6700;0.556216;228.04;174.383704;-67.009169;2.60;
J1138-6207;0.117564;519.80;174.590083;-62.133139;7.19;
J1141-3107;0.538432;30.77;175.356787;-31.131278;0.78;
J1141-3322;0.291468;46.45;175.428173;-33.377059;1.85;
J1141-6545;0.393899;116.08;175.279225;-65.755309;1.68;
J1142+0119;0.005070;19.20;175.500000;1.316667;2.09;
J1142-6230;0.558383;343.80;175.718750;-62.501083;3.48;
J1143-5158;0.675646;159.03;175.812771;-51.977747;2.40;
J1143-5536;0.685358;185.00;175.790792;-55.601250;2.22;
J1144-6146;0.987783;78.70;176.145000;-61.780278;1.40;
J1144-6217;0.850665;284.70;176.008792;-62.291750;2.65;
B1143-60;0.273372;111.68;176.532250;-60.516500;1.63;
J1147-66;0.003720;133.80;176.750000;-66.000000;1.79;
J1148-5725;3.559937;174.00;177.118875;-57.420167;2.06;
J1148-6415;3.241029;241.00;177.157500;-64.259167;2.45;
J1151-6108;0.101633;216.00;177.986917;-61.138222;2.22;
J1152-5800;1.789829;191.00;178.041667;-58.009444;2.16;
J1152-6012;0.376570;74.00;178.224167;-60.205833;1.37;
J1153-21;2.343480;34.80;178.250000;-21.300000;2.33;
J1154-6250;0.282012;74.00;178.583750;-62.834083;1.36;
J1156-5707;0.288409;243.50;179.031042;-57.117194;2.85;
J1156-5909;1.037931;219.20;179.089583;-59.153417;2.33;
J1157-5112;0.043589;39.67;179.284025;-51.215594;0.96;
B1154-62;0.400522;325.20;179.313500;-62.414131;4.77;
J1159-6409;0.667486;178.00;179.840417;-64.165833;2.04;
J1159-7910;0.525074;59.24;179.898792;-79.168222;1.61;
J1201-6306;0.592136;683.00;180.345875;-63.116528;9.54;
B1159-58;0.452801;145.41;180.618346;-58.342611;1.89;
J1204-6843;0.308861;133.93;181.153000;-68.721442;1.91;
J1207-5050;0.004840;50.60;181.840875;-50.841750;1.27;
J1208-6238;0.440591;*;182.058167;-62.634250;*;
J1210-5226;0.424131;*;182.503792;-52.441222;*;
J1210-5559;0.279767;174.35;182.524950;-55.984422;2.37;
J1210-6550;4.237010;37.00;182.675000;-65.834611;0.92;
J1211-6324;0.433084;333.80;182.850750;-63.412556;8.05;
J1214-5830;0.909823;141.10;183.535083;-58.507194;1.88;
J1215-5328;0.636414;163.00;183.752583;-53.475444;3.28;
J1216-50;6.355000;110.00;184.083333;-50.450278;2.30;
J1216-6223;0.374047;786.60;184.174542;-62.399389;17.78;
J1216-6410;0.003539;47.40;184.030582;-64.169229;1.10;
J1220-6318;0.789212;347.00;185.074417;-63.312917;8.95;
J1222-5738;1.081164;74.00;185.717917;-57.638889;1.41;
J1224-6208;0.585761;454.20;186.184375;-62.144750;9.88;
B1221-63;0.216476;97.47;186.092438;-64.131642;1.53;
J1225-5556;1.018453;125.83;186.432613;-55.945317;1.93;
J1225-6035;0.626324;176.10;186.369292;-60.593778;2.19;
B1222-63;0.419618;415.10;186.428333;-64.145278;9.84;
J1226-3223;6.193004;36.70;186.694283;-32.383611;2.17;
J1227-4853;0.001686;43.42;186.994683;-48.895206;1.24;
J1227-6208;0.034528;363.00;186.751839;-62.145497;9.47;
J1227-63;0.444578;359.00;186.800000;-63.150000;9.41;
J1231-1411;0.003684;8.09;187.797138;-14.195453;0.42;
J1231-4609;0.877239;76.00;187.940667;-46.162556;2.43;
J1231-6303;1.351236;301.00;187.804167;-63.055000;8.28;
J1232-4742;1.872994;26.00;188.079583;-47.714139;0.87;
J1232-6501;0.088282;239.40;188.074333;-65.017592;5.42;
J1233-6312;0.564759;414.00;188.381250;-63.208056;10.02;
J1233-6344;0.756892;495.00;188.416250;-63.748611;10.38;
B1232-55;0.638234;100.00;188.829167;-55.266667;1.72;
J1235-6354;0.256778;439.90;188.990500;-63.908444;10.30;
J1236-5033;0.294760;105.02;189.246458;-50.560083;2.76;
J1237-6725;2.110974;176.50;189.357917;-67.426083;3.03;
J1238+2152;1.118591;17.97;189.596569;21.869743;2.55;
B1237+25;1.382449;9.25;189.918589;24.897025;0.83;
B1236-68;1.301908;94.30;189.995833;-68.541028;1.57;
B1237-41;0.512242;44.10;190.073375;-41.414361;1.68;
J1242+39;1.310000;26.00;190.641667;39.633333;25.00;
J1243-5735;0.471225;270.60;190.897417;-57.595222;14.15;
B1240-64;0.388481;297.25;190.821492;-64.389958;9.41;
J1244-5053;0.275207;109.95;191.047833;-50.889056;3.42;
J1244-6359;0.147274;286.00;191.198721;-63.996500;8.49;
J1244-6531;1.546819;388.00;191.159583;-65.520000;10.86;
J1245-6238;2.283093;336.20;191.338000;-62.648861;9.95;
J1246+22;0.473830;17.80;191.658333;22.883333;2.47;
J1248-6344;0.198335;433.30;192.193167;-63.736000;10.70;
J1248-6444;1.234893;236.40;192.136958;-64.733333;5.97;
J1249-6507;0.434445;215.00;192.476333;-65.122167;5.12;
J1251-7407;0.327058;89.81;192.970583;-74.120844;1.86;
J1252-6314;0.823339;278.40;193.177583;-63.242417;7.32;
J1253-5820;0.255496;100.58;193.368092;-58.344692;1.64;
J1254-6150;0.184502;95.00;193.635333;-61.847444;1.53;
J1255-46;0.052000;42.90;193.750000;-46.000000;1.08;
J1255-6131;0.657974;206.50;193.978583;-61.519472;4.83;
J1255-62;0.182912;713.00;193.825000;-62.800000;19.81;
B1254-10;0.617308;29.63;194.269873;-10.451602;25.00;
B1256-67;0.663329;94.70;194.844583;-67.694444;1.57;
B1257+12;0.006219;10.17;195.014903;12.682353;0.88;
J1301+0833;0.001840;13.20;195.409417;8.565972;1.23;
J1301-6305;0.184528;374.00;195.440667;-63.092750;10.72;
J1301-6310;0.663830;86.10;195.367917;-63.177917;1.46;
J1302-32;0.003770;26.20;195.500000;-32.000000;1.49;
J1302-63;0.325724;875.00;195.516667;-63.748056;25.00;
J1302-6313;0.967846;500.00;195.580000;-63.224722;11.33;
B1259-63;0.047763;146.72;195.698511;-63.835740;2.21;
J1303-6305;2.306642;343.00;195.750083;-63.083556;10.25;
J1305-6203;0.427762;470.00;196.337083;-62.056000;11.59;
J1305-6256;0.478231;967.00;196.366667;-62.944167;25.00;
B1302-64;0.571647;505.00;196.348750;-64.923972;11.90;
J1305-66;0.197276;316.10;196.400000;-66.650000;11.63;
J1306-40;0.002205;35.00;196.733333;-40.589722;1.41;
J1306-6242;0.981902;480.00;196.685833;-62.700833;11.43;
B1303-66;0.473026;436.90;196.659125;-66.289389;15.87;
J1307-6318;4.962427;374.00;196.977917;-63.309722;10.78;
J1307-67;3.651200;44.00;196.920833;-67.057500;1.09;
J1308+2127;10.312522;*;197.201125;21.451883;*;
J1308-4650;1.058833;66.00;197.185787;-46.841583;2.19;
J1308-5844;0.464700;205.60;197.087833;-58.737167;6.46;
J1309-6415;0.619454;574.00;197.319167;-64.266389;11.98;
J1309-6526;0.398292;340.00;197.251208;-65.437944;11.26;
B1309-12;0.447518;36.21;197.969375;-12.467117;25.00;
J1311-3430;0.002560;37.84;197.940517;-34.508431;2.43;
J1312+0051;0.004230;15.30;198.000000;0.850000;1.47;
B1310+18;0.033163;24.00;198.229167;18.166667;25.00;
B1309-53;0.728154;133.00;198.019167;-54.045000;4.90;
B1309-55;0.849236;134.10;198.224292;-55.279750;4.18;
J1312-6400;2.437432;93.00;198.029833;-64.015444;1.53;
J1313+0931;0.848933;12.04;198.345833;9.532222;1.08;
J1314-6101;2.948390;309.00;198.597500;-61.021111;8.55;
J1316-6232;0.342825;983.30;199.192917;-62.536722;25.00;
J1317-5759;2.642199;145.30;199.442875;-57.991806;3.77;
J1317-6302;0.261271;678.10;199.436208;-63.047833;12.77;
B1316-60;0.284351;400.94;199.834542;-60.946297;11.85;
J1319-6105;0.421118;442.20;199.859667;-61.090611;12.20;
J1320-3512;0.458488;16.42;200.052833;-35.207222;0.87;
B1317-53;0.279729;97.60;200.224675;-53.985106;2.23;
J1320+67;1.028620;28.00;200.000000;67.500000;25.00;
J1321-5922;1.279058;383.00;200.414833;-59.381139;25.00;
B1322+83;0.670037;13.32;200.442417;83.394144;0.98;
J1322-62;1.044851;733.60;200.725000;-62.850000;15.74;
J1322-6241;0.506058;618.80;200.633958;-62.698194;12.24;
J1322-6329;2.764209;659.00;200.575000;-63.493611;12.38;
J1324-6146;0.844109;828.00;201.182917;-61.766667;25.00;
J1324-6302;2.483804;497.00;201.056875;-63.039194;11.69;
B1323-58;0.477991;287.30;201.742792;-58.991417;10.67;
B1323-63;0.792670;502.70;201.635833;-64.145556;11.99;
B1322-66;0.543009;209.60;201.513333;-67.014167;6.74;
J1327-0755;0.002678;27.91;201.989950;-7.924944;25.00;
B1323-62;0.529913;318.80;201.822500;-62.379056;6.51;
B1323-627;0.196479;294.91;201.781125;-63.020942;6.22;
J1327-6400;0.280678;680.90;201.792792;-64.003639;13.03;
B1325-43;0.532699;42.00;202.026800;-43.962256;1.42;
B1325-49;1.478721;118.00;202.139917;-49.359278;8.40;
J1329-6158;1.565218;514.00;202.263750;-61.983056;11.87;
J1331-5245;0.648117;148.40;202.750042;-52.757056;8.93;
J1332-03;1.106400;27.10;203.000000;-3.433333;25.00;
J1332-3032;0.650434;15.10;203.218686;-30.538137;0.88;
J1333-4449;0.345603;44.30;203.436787;-44.823950;1.43;
J1334-5839;0.107718;119.30;203.625455;-58.654596;2.49;
J1335-3642;0.399192;41.70;203.900000;-36.700000;2.48;
J1337-44;1.257520;96.00;204.275000;-44.716667;25.00;
J1337-6306;0.207953;777.70;204.334792;-63.106472;12.93;
J1337-6423;0.009423;259.20;204.382846;-64.384699;5.94;
B1334-61;1.238990;640.30;204.538958;-62.071861;12.37;
J1339-4712;0.137055;39.90;204.985786;-47.201533;1.21;
J1339-6618;0.558179;241.00;204.985833;-66.302167;7.33;
B1336-64;0.378622;76.99;205.001333;-64.945250;1.40;
J1341-6023;0.627285;364.60;205.280708;-60.392972;7.28;
B1338-62;0.193340;717.30;205.427625;-62.339083;12.59;
J1342+2822A;0.002545;26.50;205.545833;28.375556;25.00;
J1342+2822B;0.002389;26.15;205.546196;28.377817;25.00;
J1342+2822C;0.002166;26.50;205.545833;28.375556;25.00;
J1342+2822D;0.005443;26.36;205.542500;28.376667;25.00;
J1344-6059;0.540102;435.00;206.165000;-60.991944;7.42;
J1345-6115;1.253085;278.10;206.435125;-61.258500;5.57;
J1346-4918;0.299625;74.42;206.593125;-49.302000;2.53;
J1347-5947;0.609962;293.40;206.830750;-59.794389;6.29;
J1348-6307;0.927772;597.00;207.176667;-63.117778;10.64;
J1349-6130;0.259363;284.60;207.402708;-61.504750;5.49;
J1349-63;0.373034;478.00;207.325000;-63.933333;9.29;
J1350-5115;0.295699;90.39;207.567158;-51.256881;3.30;
J1350-6225;0.138158;*;207.685208;-62.428833;*;
J1352-6803;0.628903;214.60;208.143542;-68.060306;9.91;
J1354-6249;2.951938;254.00;208.645833;-62.825000;5.16;
B1352-51;0.644301;112.10;208.994500;-51.898278;4.98;
J1355-5747;2.038674;229.00;208.903958;-57.787500;6.44;
J1355-5925;1.213381;354.80;208.996292;-59.416917;7.21;
J1355-6206;0.276603;547.00;208.838917;-62.105583;7.54;
J1356-5521;0.507380;174.17;209.210658;-55.353600;7.32;
B1353-62;0.455761;416.80;209.354167;-62.466667;6.48;
J1357-6429;0.166108;128.50;209.260125;-64.491722;3.10;
J1358-2533;0.912971;31.27;209.675000;-25.550000;2.55;
B1356-60;0.127501;293.71;209.992583;-60.635556;5.47;
J1400-1431;0.003084;4.93;210.154182;-14.529735;0.35;
J1400-6325;0.031182;563.00;210.190375;-63.428500;9.16;
B1358-63;0.842790;98.00;210.468667;-63.962650;1.76;
B1359-51;1.380177;39.00;210.737500;-51.400000;1.08;
J1403-6310;0.399170;305.00;210.808333;-63.174167;5.67;
J1403-7646;1.306198;100.60;210.767083;-76.782639;5.30;
J1404+12;2.650270;25.00;211.166667;12.050000;25.00;
J1405-42;2.346800;64.00;211.450000;-42.550000;3.66;
J1405-4656;0.007602;13.88;211.339273;-46.933975;0.67;
J1405-5641;0.617575;273.00;211.301708;-56.690056;12.40;
J1406-5806;0.288349;229.00;211.505000;-58.108889;5.57;
J1406-6121;0.213075;542.30;211.708500;-61.357750;7.33;
J1407-6048;0.492344;575.20;211.994333;-60.816333;7.86;
J1407-6153;0.701615;645.00;211.985417;-61.899722;8.20;
J1409-6953;0.528591;167.63;212.320417;-69.892889;8.12;
J1410-6132;0.050052;960.00;212.600000;-61.533333;13.51;
J1410-7404;0.278729;54.24;212.530708;-74.081478;1.34;
J1412-6111;0.529156;311.80;213.248417;-61.191806;5.28;
J1412-6145;0.315225;514.70;213.032042;-61.758000;7.12;
J1412+7922;0.059198;*;213.232667;79.367694;*;
J1413-6141;0.285625;677.00;213.291125;-61.686944;8.55;
J1413-6205;0.109741;*;213.374583;-62.093889;*;
J1413-6222;0.292408;808.10;213.272792;-62.374389;13.09;
B1409-62;0.394946;121.98;213.380483;-63.126514;3.04;
J1414-6802;4.630188;153.50;213.607083;-68.049444;5.42;
J1415-6621;0.392479;260.17;213.880292;-66.353389;10.45;
J1416-5033;0.794883;58.50;214.185833;-50.554722;1.42;
J1416-6037;0.295580;289.20;214.127458;-60.633194;5.08;
J1417-4402;0.002664;55.00;214.377500;-44.049278;2.16;
J1418-3921;1.096806;60.49;214.709513;-39.355142;4.08;
J1418-5945;1.672596;369.00;214.634583;-59.750000;6.14;
J1418-6058;0.110573;*;214.677917;-60.963611;*;
B1417-54;0.935772;129.60;215.121250;-54.273056;4.40;
J1420-5625;0.034117;64.56;215.012758;-56.431944;1.33;
J1420-6048;0.068180;358.80;215.034321;-60.804564;5.62;
J1421-4409;0.006386;54.63;215.337353;-44.151261;2.08;
J1422-6138;0.340968;*;215.612792;-61.641111;*;
J1423-6953;0.333411;123.98;215.861625;-69.895228;4.70;
J1424-5556;0.770375;198.70;216.053167;-55.937194;6.20;
J1424-56;1.427000;32.90;216.095833;-56.679722;0.95;
J1424-5822;0.366734;323.90;216.133792;-58.382222;6.70;
J1424-6438;1.023504;248.00;216.246667;-64.636111;6.08;
J1425-5723;0.353263;43.40;216.402333;-57.391889;1.06;
J1425-5759;0.707868;325.00;216.496292;-57.986167;7.63;
J1425-6210;0.501730;430.10;216.282083;-62.168028;6.85;
J1427-4158;0.586486;71.00;216.961542;-41.982306;4.56;
B1424-55;0.570290;82.40;217.109571;-55.513944;1.90;
J1429-5911;0.115843;*;217.494167;-59.193500;*;
J1429-5935;0.763915;456.70;217.357917;-59.599694;7.69;
B1426-66;0.785441;65.30;217.670300;-66.384733;1.33;
J1431-4715;0.002012;59.35;217.935907;-47.257659;1.82;
J1431-5740;0.004111;131.46;217.764564;-57.669908;3.55;
J1432-5032;2.034989;113.00;218.217792;-50.538139;5.28;
J1433+00;*;23.50;218.375000;0.466667;2.99;
J1433-6038;1.954430;409.00;218.304917;-60.642972;6.22;
J1434-6006;0.306368;332.00;218.522083;-60.108056;5.30;
J1434-6029;0.963348;282.00;218.662917;-60.496944;4.81;
J1434+7257;0.041741;12.61;218.498904;72.957364;0.97;
J1435-5954;0.472995;44.26;218.751500;-59.913667;1.06;
J1435-6100;0.009348;113.70;218.834485;-61.016099;2.81;
J1437-5959;0.061696;549.60;219.257958;-59.983722;8.55;
J1437-6146;0.467616;200.50;219.313792;-61.767222;4.25;
J1439-5501;0.028635;14.56;219.915592;-55.023228;0.65;
J1439+76;0.947903;22.29;219.750000;76.916667;2.05;
B1436-63;0.459605;124.20;220.130446;-63.746556;3.45;
J1441-6137;1.175840;166.00;220.434583;-61.623333;3.88;
J1443-5122;0.732061;87.00;220.862375;-51.373889;2.98;
J1444-5941;2.760228;177.10;221.193750;-59.688611;3.84;
J1444-6026;4.758576;367.70;221.025083;-60.435944;5.82;
J1446-4701;0.002195;55.83;221.648808;-47.024102;1.57;
J1449-5846;0.463330;216.60;222.355958;-58.777889;4.17;
J1452-5851;0.386625;262.40;223.219083;-58.853694;4.52;
J1452-6036;0.154991;349.70;223.216242;-60.608708;6.14;
J1453+1902;0.005792;14.05;223.440490;19.036729;1.27;
B1449-64;0.179485;71.07;223.386404;-64.220997;1.43;
J1454-5846;0.045249;115.95;223.545450;-58.776317;2.98;
J1455-3330;0.007987;13.57;223.949874;-33.512883;0.68;
J1455-59;0.176191;498.00;223.775000;-59.383333;6.69;
J1456-48;0.536810;133.00;224.000000;-48.000000;3.28;
B1451-68;0.263377;8.60;224.000658;-68.727569;0.44;
B1454-51;1.748301;37.00;224.417458;-51.381389;0.99;
J1457-5900;1.498637;175.00;224.412500;-59.014167;3.74;
J1457-5902;0.390739;477.20;224.382917;-59.034444;6.37;
J1459-6053;0.103151;*;224.874958;-60.889083;*;
J1501-0046;0.464037;22.26;225.437316;-0.773200;2.13;
J1501-5637;0.782949;258.00;225.462500;-56.630000;4.94;
J1502-5653;0.535504;194.00;225.739121;-56.894225;3.96;
J1502-5828;0.668105;584.00;225.682500;-58.478333;7.09;
J1502-6128;0.842104;256.50;225.624333;-61.480639;5.19;
J1502-6752;0.026744;151.20;225.577562;-67.871322;7.74;
J1503+2111;3.314002;3.26;225.977500;21.185917;0.24;
J1504-5621;0.412985;143.00;226.204750;-56.358889;3.49;
B1503-51;0.840739;61.00;226.664583;-51.969444;1.38;
B1504-43;0.286757;48.70;226.892417;-43.867556;1.39;
B1503-66;0.355655;129.80;226.952750;-66.682528;4.79;
B1508+55;0.739682;19.62;227.356791;55.525665;2.07;
J1509-5850;0.088922;140.60;227.363042;-58.848917;3.35;
J1509-6015;0.339038;423.60;227.281250;-60.255167;11.08;
B1507-44;0.943871;84.00;227.703750;-44.368611;4.13;
J1511-5414;0.200384;84.76;227.963783;-54.244528;2.43;
J1511-5835;0.301511;332.00;227.779167;-58.591111;5.15;
J1512-5431;2.040532;219.00;228.023750;-54.521944;5.12;
B1508-57;0.128694;628.70;228.179275;-57.999944;6.84;
J1513-5739;0.973458;469.70;228.495792;-57.650389;5.89;
B1509-58;0.151251;252.50;228.481750;-59.135833;4.45;
J1513-5946;1.046117;171.70;228.436583;-59.775528;3.76;
B1510-48;0.454839;51.50;228.560667;-48.572083;1.24;
J1514-4946;0.003589;31.05;228.579642;-49.770977;0.91;
J1514-5925;0.148796;194.10;228.746250;-59.428694;3.92;
J1515-5720;0.286646;482.00;228.788750;-57.346944;6.08;
J1517-4356;0.650837;87.78;229.363917;-43.938306;4.47;
J1517-4636;0.886612;127.00;229.372400;-46.600167;7.68;
B1516+02A;0.005554;30.08;229.638823;2.090986;25.00;
B1516+02B;0.007947;29.47;229.631075;2.087631;25.00;
J1518+0204C;0.002484;29.31;229.636620;2.079949;6.63;
J1518+0204D;0.002988;29.30;229.641667;2.082778;6.49;
J1518+0204E;0.003182;29.30;229.641667;2.082778;6.49;
J1518-0627;0.794997;27.96;229.746293;-6.452139;2.68;
J1518+4904;0.040935;11.61;229.569996;49.076181;0.96;
J1518-5415;0.214925;167.20;229.556250;-54.262500;3.77;
J1519-5734;0.518758;664.00;229.948292;-57.570444;6.85;
J1519-6106;2.154307;221.00;229.899208;-61.115167;5.05;
J1519-6308;1.254052;250.00;229.789833;-63.138750;12.38;
J1522-5525;1.389605;79.00;230.527917;-55.421528;2.00;
J1522-5735;0.102136;*;230.522083;-57.583333;*;
B1518-58;0.395353;199.90;230.676125;-58.484083;3.88;
J1524-5625;0.078219;152.70;231.207750;-56.423167;3.38;
J1524-5706;1.116049;833.00;231.089292;-57.109722;7.44;
J1524-5819;0.961043;406.60;231.102708;-58.320583;7.54;
J1525-5417;1.011694;235.00;231.368125;-54.288889;4.88;
J1525-5523;0.355156;124.70;231.400267;-55.390889;3.13;
J1525-5545;0.011360;126.93;231.367225;-55.763845;3.14;
J1525-5605;0.280349;338.00;231.422708;-56.086944;5.11;
J1526-5633;0.301888;329.00;231.671667;-56.561944;4.79;
B1524-39;2.417582;49.00;231.995542;-39.526389;1.71;
B1523-55;1.048705;362.70;231.920417;-55.868611;5.32;
J1528-3146;0.060822;18.16;232.145643;-31.768566;0.77;
J1528-4109;0.526556;89.50;232.033471;-41.158000;5.45;
J1528-5547;3.467302;269.00;232.163250;-55.789722;4.47;
J1528-5838;0.355687;*;232.101250;-58.633611;*;
J1529-3828;0.008486;73.62;232.312944;-38.479403;4.30;
J1529-5355;0.891265;292.00;232.490000;-53.926667;6.24;
J1529-5611;0.822249;149.00;232.399167;-56.191389;3.32;
J1530-5327;0.278957;49.60;232.611958;-53.465639;1.12;
J1530-63;0.910300;206.50;232.716667;-63.725833;10.67;
J1531-4012;0.356849;106.65;232.783542;-40.208583;9.52;
J1531-5610;0.084202;110.90;232.866292;-56.181944;2.85;
B1530+27;1.124836;14.69;233.043185;27.763721;1.32;
J1532-5308;0.443825;181.00;233.147917;-53.135000;3.82;
J1532-56;0.522977;282.00;233.075000;-56.533333;4.44;
J1534-4428;1.221426;137.30;233.716667;-44.469278;9.64;
J1534-46;0.364835;64.40;233.533333;-46.233333;2.04;
B1530-53;1.368881;24.82;233.534875;-53.572028;0.81;
B1530-539;0.289689;190.82;233.639958;-54.094361;3.75;
J1535-4114;0.432866;66.28;233.821125;-41.234194;2.77;
J1535-4415;0.468402;110.70;233.983000;-44.252333;5.81;
J1535-5450;0.566734;219.80;233.992750;-54.840556;3.95;
J1535-5848;0.307178;107.00;233.819833;-58.807694;2.97;
J1536-3602;1.319759;96.00;234.072425;-36.049667;14.04;
J1536-4948;0.003080;38.00;234.000000;-49.800000;0.98;
J1536-5433;0.881438;147.50;234.020083;-54.554167;3.31;
J1536-5907;0.557841;316.00;234.073833;-59.117667;8.13;
B1534+12;0.037904;11.62;234.291507;11.932065;0.88;
J1537-4912;0.301311;69.70;234.367500;-49.200833;2.05;
J1537-5153;1.528124;93.00;234.315542;-51.885000;2.74;
J1537-5645;0.430464;707.00;234.462500;-56.751111;8.46;
J1538+2345;3.449385;14.91;234.525292;23.751111;1.31;
J1538-5438;0.276726;136.90;234.703958;-54.638056;3.18;
J1538-5519;0.395731;611.00;234.670125;-55.329444;5.94;
J1538-5551;0.104675;603.00;234.687625;-55.860250;5.98;
J1538-5621;1.908494;150.00;234.680375;-56.365417;3.31;
J1538-5638;0.843980;546.00;234.523750;-56.636667;7.04;
J1538-5732;0.341213;152.70;234.575750;-57.541472;3.43;
J1538-5750;0.506568;91.00;234.535042;-57.838083;2.52;
J1539-4828;1.272842;117.00;234.920167;-48.482500;3.46;
J1539-5521;1.004958;380.00;234.783208;-55.353111;4.91;
B1535-56;0.243392;175.88;234.808167;-56.440389;3.54;
J1539-6322;1.630846;163.50;234.852917;-63.381444;7.10;
J1540-5736;0.612916;304.50;235.245917;-57.615833;6.35;
J1541-42;*;60.00;235.479167;-42.313889;2.11;
J1541-5535;0.295838;428.00;235.456667;-55.583611;5.17;
J1542-5034;0.599245;91.00;235.689463;-50.567056;2.73;
J1542-5133;1.783865;186.00;235.583042;-51.559722;4.06;
J1542-5303;1.207568;265.70;235.727125;-53.061389;5.37;
B1540-06;0.709064;18.38;235.875658;-6.345903;1.12;
B1541+09;0.748448;34.98;235.911771;9.487872;25.00;
J1543-5013;0.644255;211.00;235.992708;-50.232778;5.80;
J1543-5149;0.002057;50.93;235.933958;-51.831857;1.15;
J1543-5459;0.377119;345.70;235.984375;-54.987139;4.66;
J1544+4937;0.002159;23.23;236.018697;49.632015;2.99;
B1541-52;0.178554;35.16;236.249350;-53.146250;0.93;
J1545-4550;0.003575;68.39;236.483108;-45.843758;2.25;
J1546-3747A;0.002606;92.17;236.514333;-37.786139;6.45;
J1546-5302;0.580840;287.00;236.530833;-53.039722;5.33;
J1546-59;0.007800;168.30;236.500000;-59.000000;3.89;
